Location,Nestbox,Species,Year,Male.Wing.Chord,Male.Tarsus,Male.Bill,Male.Weight,Male.BillHead,Male.ID,Female.Wing.Chord,Female.Tarsus,Female.Bill,Female.Weight,Female.BillHead,Female.ID,Wing_Difference,Tarsus_Difference,Bill_Difference,Weight_Difference,Wing_Difference_Category,BillHead_Difference,Egg_Number,Nestling_Number,Avg_Nestling_Weight,Egg_Nestling_Diff,Pair.ID,Avg.Wing,Avg.Tarsus,Avg.Weight,Avg.Nestling.Wing,Avg.Nestling.Tarsus,MaleBander,FemaleBander,Elevation,Male_SMI,Female_SMI,male.logwing,female.logwing,male.logmass,female.logmass,First.Egg,Provisioning,Group
SGR,SGR-146,MOCH,2022,70,19.2,9,10.5,29.5,291054145,62,19.1,9.1,11,28.7,291054144,8,0.1,-0.1,-0.5,Much,0.8,2,2,12.25,0,291054145-291054144,66,19.15,10.75,39,19.65,MEL,NCA,2535.936,10.29402429,11.62682783,4.248495242,4.127134385,2.351375257,2.397895273,132,,SGRU
SGR,SGR-163,MOCH,2022,73,18.8,9.7,12.5,31,POX32022,65,18.7,9.7,10,28,291054147,8,0.1,0,2.5,Much,3,6,4,10.5,2,POX32022-291054147,69,18.75,11.25,39,18.75,MEL,NCA,2522.22,11.94011024,10.2647216,4.290459441,4.17438727,2.525728644,2.302585093,143,,SGRU
SGR,SGR-148,MOCH,2022,69,20.1,8.1,11.5,30,POX42022,64,19.5,9.2,11.25,29.5,297010695,5,0.6,-1.1,0.25,Much,0.5,3,3,8.5,0,POX42022-297010695,66.5,19.8,11.375,21.66666667,16.8,WCA,WCA,2522.22,11.37542034,11.6593334,4.234106505,4.158883083,2.442347035,2.420368129,144,,SGRU
MRS,MRS-209,MOCH,2022,71,19.8,10.1,13,30.6,291054063,66,19.4,9.2,11.5,30.1,294018399,5,0.4,0.9,1.5,Much,0.5,8,6,13.83,2,291054063-294018399,68.5,19.6,12.25,38.83333333,19.15,WCA,WCA,2874.264,12.63340639,11.69323612,4.262679877,4.189654742,2.564949357,2.442347035,148,,MRS
MRS,MRS-185,MOCH,2022,73,18.1,8.9,11,28.9,294018398,66,17.6,10,11,30.6,291054269,7,-0.5,1.1,0,Much,1.7,6,4,12.63,2,291054269-294018398,69.5,17.85,11,38.25,19.325,WCA,WCA,2895.6,11.18483455,10.50729701,4.189654742,4.290459441,2.397895273,2.397895273,,,MRS
MRS,MRS-88,MOCH,2022,69,19.8,9,11.5,29.9,291054243,66,19.5,9.2,11.5,28.8,283031960,3,0.3,-0.2,0,Slightly,1.1,7,7,12,0,291054243-283031960,67.5,19.65,11.5,34.625,19.3,WCA,WCA,2892.552,11.37542034,11.69323612,4.234106505,4.189654742,2.442347035,2.442347035,,,MRS
MRS,MRS-049,MOCH,2022,70,19.8,9.2,12,30.3,12022,66,19.8,8.5,10.5,29.3,291054155,4,0,0.7,1.5,Much,1,6,6,12.08,0,12022-291054155,68,19.8,11.25,33.83333333,18.16666667,MEL,MEL,2994.66,11.76459919,10.67643298,4.248495242,4.189654742,2.48490665,2.351375257,160,,CONE
BLD,BLD-326,BCCH,2022,67,18.5,7.7,10.5,28.1,2910-54101,60,17.8,7.8,9.5,27.2,291054102,7,0.7,-0.1,1,Much,0.9,5,4,NA,1,2910-54101-291054102,63.5,18.15,10,26,14.4,MEL,MEL,1584.96,10.37632525,10.0300648,4.204692619,4.094344562,2.351375257,2.251291799,120,5,FLG
BLD,BLD-300,BCCH,2022,67,18.3,18,12,27.5,291054104,62,17.3,7.4,10.5,27,291054103,5,1,10.6,1.5,Much,0.5,6,6,10.13,0,291054104-291054103,64.5,17.8,11.25,31.75,17.475,MEL,MEL,1650.492,11.85865742,10.87010079,4.204692619,4.127134385,2.48490665,2.351375257,116,10,BLDN
BLD,BLD-281,BCCH,2022,68,17.4,7.7,12,27.3,213017453,64,17.6,7.2,11.5,26.4,213017479,4,-0.2,0.5,0.5,Much,0.9,6,4,9.63,2,213017453-213017479,66,17.5,11.75,35,16.25,ANT,ANT,1650.492,11.75381507,11.68092611,4.219507705,4.158883083,2.48490665,2.442347035,113,20,BLDN
BLD,CU-108,BCCH,2022,68,18.3,7.3,10.5,27.2,291054089,64,18.4,8.3,12.5,26.8,283031941,4,-0.1,-1,-2,Much,0.4,7,7,10.36,0,291054089-283031941,66,18.35,11.5,30,16.67142857,MEL,MEL,1645.92,10.28458818,12.69665882,4.219507705,4.158883083,2.351375257,2.525728644,119,44,CU
BLD,BLD-351,BCCH,2022,62,17.8,7.8,10.5,26.5,291054298,63,17.9,8.5,11,27,291054299,-1,-0.1,-0.7,-0.5,Female,-0.5,6,4,9.38,2,291054298-291054299,62.5,17.85,10.75,29.5,16.325,NCA,MEL,1591.056,10.87010079,11.27902972,4.127134385,4.143134726,2.351375257,2.397895273,,,BLDM
BLD,BLD-261,BCCH,2022,63,17.1,7.8,12.5,27.4,291054107,70,18.9,7.5,11,26,291054290,-7,-1.8,0.3,1.5,Female,1.4,6,4,9,2,291054107-291054290,66.5,18,11.75,26,15.8,WCA,NCA,1699.26,12.81707923,10.588739,4.143134726,4.248495242,2.525728644,2.397895273,,32,BLDM
BLD,BLD-266,BCCH,2022,70,19,7.9,13,28,291054105,69,18.2,8.1,11.5,28.4,POX12022,1,0.8,-0.2,1.5,Slightly,-0.4,6,6,9.07,0,291054105-POX12022,69.5,18.6,12.25,32.16666667,16.73333333,MEL,MEL,1691.64,12.51396427,11.16593464,4.248495242,4.234106505,2.564949357,2.442347035,,24,BLDS
BLD,BLD-388,BCCH,2022,69,17.5,7.8,12,28.1,291054296,64,16.8,8.4,10,27.7,291054297,5,0.7,-0.6,2,Much,0.4,5,5,9.9,0,291054296-291054297,66.5,17.15,11,35.4,16.6,MEL,MEL,1615.44,11.65141006,10.15732705,4.234106505,4.158883083,2.48490665,2.302585093,134,9,BLDS
BLD,BLD-291,BCCH,2022,68,17.5,8.1,12.5,27.6,297010615,65,16.8,7.7,9.5,27.3,297010614,3,0.7,0.4,3,Slightly,0.3,6,4,10.38,2,297010615-297010614,66.5,17.15,11,35,16.2,MEL,MEL,1706.88,12.24355736,9.560200154,4.219507705,4.17438727,2.525728644,2.251291799,,,BLDN
SGR,SGR-207,BCCH,2022,67,17.3,7.9,12,26.4,291054120,71,18.1,8,11,26.4,291054119,-4,-0.8,-0.1,1,Female,0,5,5,8.75,0,291054120-291054119,69,17.7,11.5,24,15.375,NCA,NCA,2491.74,11.85865742,10.49909083,4.204692619,4.262679877,2.48490665,2.397895273,132,13,MRS
BLD,BLD-389,MOCH,2023,69,16.8,9.5,12.5,30.3,294018397,68,16.8,9.2,12,29.5,297010958,1,0,0.3,0.5,Slightly,0.8,8,4,12.63,4,294018397-297010958,68.5,16.8,12.25,34.5,17.45,HLK,HLK,1813.56,12.36458733,11.97791249,4.234106505,4.219507705,2.525728644,2.48490665,143,,SGRL
BLD,BLD-161,MOCH,2023,68,17.8,9.4,10,29.5,297010704,64,17.8,9.4,10,28.8,297010703,4,0,0,0,Much,0.7,8,7,12.14,1,297010704-297010703,66,17.8,10,35.14285714,17.01428571,WCA,WCA,1653.54,9.981593739,10.36385191,4.219507705,4.158883083,2.302585093,2.302585093,123,,BLDN
NED,NED-361,MOCH,2023,68,16.7,9,12,29.9,297010747,65,15.3,9.9,11,29.5,297010746,3,1.4,-0.9,1,Slightly,0.4,7,2,13.25,5,297010747-297010746,66.5,16,11.5,36,16.85,WCA,WCA,2560.32,11.97791249,11.29119376,4.219507705,4.17438727,2.48490665,2.397895273,141,,NED
MRS,MRS-60,MOCH,2023,68,17.9,8.8,11.5,29.6,297010786,67,15.7,8.9,11.5,29.1,297010787,1,2.2,-0.1,0,Slightly,0.5,5,5,12.28,0,297010786-297010787,67.5,16.8,11.5,33,16.14,WCA,WCA,3090.672,11.4788328,11.5847385,4.219507705,4.204692619,2.442347035,2.442347035,153,,CONEU
MRS,MRS-80,MOCH,2023,71,15.5,9.4,12.5,29.4,297010788,67,16.4,9.7,12,29.4,297010789,4,-0.9,-0.3,0.5,Much,0,6,4,11.38,2,297010788-297010789,69,15.95,12.25,31,15.875,WCA,WCA,3060.192,12.14750614,12.08842278,4.262679877,4.204692619,2.525728644,2.48490665,150,,CONEU
SGR,SGR-171,MOCH,2023,69,18.9,8.2,12.5,28.6,POX92023,66,18.2,8.7,10.5,29.1,297010848,3,0.7,-0.5,2,Slightly,-0.5,7,5,10.75,2,POX92023-297010848,67.5,18.55,11.5,37.33333333,14.6,NCA,NCA,2522.22,12.36458733,10.67643298,4.234106505,4.189654742,2.525728644,2.351375257,141,,SGRU
SGR,SGR-172,MOCH,2023,66,18.8,8.1,12.5,29.8,297010850,66,16.9,8.6,10,29.7,297010849,0,1.9,-0.5,2.5,Same,0.1,6,5,9.5,1,297010850-297010849,66,17.85,11.25,22,14.9,NCA,NCA,2522.22,12.71003926,10.16803141,4.189654742,4.189654742,2.525728644,2.302585093,141,,SGRU
MRS,MRS-55,MOCH,2023,68,17.8,9.4,12,30.8,297010874,68,16.3,8.6,11,29.1,297010875,0,1.5,0.8,1,Same,1.7,6,5,11.38,1,297010874-297010875,68,17.05,11.5,27,15.8,HLK,HLK,3002.28,11.97791249,10.97975311,4.219507705,4.219507705,2.48490665,2.397895273,147,,CONE
NED,NED-342,MOCH,2023,70,17,8.6,12.5,30.2,297010934,67,17.1,8,11,29,297010933,3,-0.1,0.6,1.5,Slightly,1.2,8,6,11.17,2,297010934-297010933,68.5,17.05,11.75,28.66666667,16.23333333,HLK,HLK,2493.264,12.25479082,11.08105421,4.248495242,4.204692619,2.525728644,2.397895273,148,,NED
SGR,SGR-222,MOCH,2023,71,17.6,9,13,30.5,297010948,65,17,9.4,12,30,297010947,6,0.6,-0.4,1,Much,0.5,6,5,NA,1,297010948-297010947,68,17.3,12.5,NA,NA,HLK,HLK,2519.172,12.63340639,12.31766592,4.262679877,4.17438727,2.564949357,2.48490665,147,,SGRU
